book_id;author_id
10009;40
10021;30
10035;4
10034;4
10020;15
10008;1
10036;4
10023;44
10037;34
10033;4
10027;14
10026;28
10032;4
10024;36
10030;21
10018;4
10019;4
10031;6
10025;16
10042;43
10056;12
10043;45
10041;31
10040;8
10050;17
10045;46
10051;17
10047;4
9;22
8;22
10052;17
1008;2
10046;42
1005;9
5;11
4;2
10062;41
1004;2
1006;9
10048;0
10060;20
6;2
7;2
10049;17
1007;9
1003;2
3;2
2;2
1002;2
1;2
1001;9
10028;2
10000;12
10014;4
10015;4
10001;18
10029;10
10029;33
10017;4
10003;23
10002;37
10016;4
10012;35
10006;24
10007;26
10013;4
10005;3
10011;2
10039;38
10038;13
10010;39
10004;5
10004;29
10022;19
10057;25
10057;7
10058;32
10044;27
